price,well below 2° - Flat ,1.5° - Flat,well below 2° -  Progressing,1.5° - Progressing
918,0.001282365,0.553355345,0.002616407,0.618385958
919,0.001269541,0.553321791,0.002590243,0.618202099
920,0.001256846,0.553288574,0.00256434,0.618020078
921,0.001244277,0.553255688,0.002538697,0.617839877
922,0.001231834,0.553223131,0.00251331,0.617661478
923,0.001219516,0.5531909,0.002488177,0.617484863
924,0.001207321,0.553158991,0.002463295,0.617310015
925,0.001195248,0.553127401,0.002438662,0.617136915
926,0.001183295,0.553096127,0.002414276,0.616965545
927,0.001171462,0.553065165,0.002390133,0.61679589
928,0.001159748,0.553034514,0.002366232,0.616627931
929,0.00114815,0.553004169,0.002342569,0.616461652
930,0.001136669,0.552974127,0.002319144,0.616297035
931,0.001125302,0.552944386,0.002295952,0.616134065
932,0.001114049,0.552914942,0.002272993,0.615972724
933,0.001102908,0.552885792,0.002250263,0.615812997
934,0.001091879,0.552856935,0.00222776,0.615654867
935,0.001080961,0.552828365,0.002205482,0.615498318
936,0.001070151,0.552800082,0.002183428,0.615343335
937,0.001059449,0.552772081,0.002161593,0.615189902
938,0.001048855,0.55274436,0.002139977,0.615038003
939,0.001038366,0.552716916,0.002118578,0.614887623
940,0.001027983,0.552689747,0.002097392,0.614738746
941,0.001017703,0.55266285,0.002076418,0.614591359
942,0.001007526,0.552636221,0.002055654,0.614445445
943,0.000997451,0.552609859,0.002035097,0.614300991
944,0.000987476,0.55258376,0.002014746,0.614157981
945,0.000977601,0.552557923,0.001994599,0.614016401
946,0.000967825,0.552532344,0.001974653,0.613876237
947,0.000958147,0.55250702,0.001954906,0.613737475
948,0.000948566,0.55248195,0.001935357,0.6136001
949,0.00093908,0.55245713,0.001916004,0.613464099
950,0.000929689,0.552432559,0.001896844,0.613329458
951,0.000920392,0.552408234,0.001877875,0.613196164
952,0.000911188,0.552384151,0.001859096,0.613064202
953,0.000902076,0.55236031,0.001840505,0.61293356
954,0.000893056,0.552336707,0.0018221,0.612804224
955,0.000884125,0.55231334,0.001803879,0.612676182
956,0.000875284,0.552290206,0.001785841,0.61254942
957,0.000866531,0.552267304,0.001767982,0.612423926
958,0.000857866,0.552244631,0.001750302,0.612299687
959,0.000849287,0.552222185,0.001732799,0.61217669
960,0.000840794,0.552199963,0.001715471,0.612054923
961,0.000832386,0.552177963,0.001698317,0.611934374
962,0.000824062,0.552156184,0.001681333,0.61181503
963,0.000815822,0.552134622,0.00166452,0.61169688
964,0.000807664,0.552113276,0.001647875,0.611579911
965,0.000799587,0.552092143,0.001631396,0.611464112
966,0.000791591,0.552071221,0.001615082,0.611349471
967,0.000783675,0.552050509,0.001598931,0.611235976
968,0.000775838,0.552030004,0.001582942,0.611123616
969,0.00076808,0.552009704,0.001567113,0.61101238
970,0.000760399,0.551989607,0.001551442,0.610902256
971,0.000752795,0.551969711,0.001535927,0.610793234
972,0.000745267,0.551950014,0.001520568,0.610685301
973,0.000737815,0.551930514,0.001505362,0.610578448
974,0.000730436,0.551911209,0.001490309,0.610472664
975,0.000723132,0.551892096,0.001475405,0.610367937
976,0.000715901,0.551873175,0.001460651,0.610264258
977,0.000708742,0.551854444,0.001446045,0.610161615
978,0.000701654,0.551835899,0.001431584,0.610059999
979,0.000694638,0.55181754,0.001417269,0.609959399
980,0.000687691,0.551799365,0.001403096,0.609859805
981,0.000680814,0.551781371,0.001389065,0.609761207
982,0.000674006,0.551763558,0.001375174,0.609663595
983,0.000667266,0.551745922,0.001361423,0.609566959
984,0.000660594,0.551728463,0.001347808,0.609471289
985,0.000653988,0.551711178,0.00133433,0.609376577
986,0.000647448,0.551694066,0.001320987,0.609282811
987,0.000640973,0.551677126,0.001307777,0.609189983
988,0.000634564,0.551660354,0.001294699,0.609098083
989,0.000628218,0.551643751,0.001281752,0.609007102
990,0.000621936,0.551627313,0.001268935,0.608917031
991,0.000615716,0.55161104,0.001256245,0.608827861
992,0.000609559,0.55159493,0.001243683,0.608739582
993,0.000603464,0.551578981,0.001231246,0.608652186
994,0.000597429,0.551563191,0.001218934,0.608565664
995,0.000591455,0.551547559,0.001206744,0.608480008
996,0.00058554,0.551532083,0.001194677,0.608395208
997,0.000579685,0.551516762,0.00118273,0.608311256
998,0.000573888,0.551501595,0.001170903,0.608228143
999,0.000568149,0.551486579,0.001159194,0.608145862
1000,0.000562468,0.551471713,0.001147602,0.608064403
